Date,High(°F),Low(°F),Precip.(inch),Snow(inch)
2018-12-09,37.0,23.2,0.0,0.0
2018-12-10,39.0,26.2,0.0,0.0
2018-12-11,37.9,23.2,0.0,0.0
2018-12-12,39.0,24.3,0.0,0.0
2018-12-13,35.1,21.2,0.0,0.0
2018-12-14,46.0,29.1,0.0,0.0
2018-12-15,55.0,39.9,0.0,0.0
2018-12-16,45.0,41.0,0.54,0.0
2018-12-17,43.0,36.0,0.04,
2018-12-18,39.0,25.2,0.02,0.12
2018-12-19,42.1,24.3,0.0,0.0
2018-12-20,50.0,32.0,0.0,0.0
2018-12-21,64.9,43.0,0.61,0.0
2018-12-22,55.9,37.0,0.02,0.0
2018-12-23,43.0,33.1,0.0,0.0
2018-12-24,39.0,32.0,,
2018-12-25,39.0,29.1,0.0,0.0
2018-12-26,39.9,26.2,0.0,0.0
2018-12-27,37.9,30.2,0.0,0.0
2018-12-28,57.0,34.0,0.33,0.0
2018-12-29,54.0,32.0,0.0,0.0
2018-12-30,34.0,26.2,0.0,
2018-12-31,,,,
